country,state,lat,long
china,yunnan,24.974,101.48700000000001
china,zhejiang,29.1832,120.0934
colombia,,4.5709,-74.2973
congo-brazzaville,,-4.0383,21.7587
congo-kinshasa,,-4.0383,21.7587
costa-rica,,9.7489,-83.7534
cote-d-ivoire,,7.54,-5.5471
croatia,,45.1,15.2
cuba,,22.0,-80.0
cyprus,,35.1264,33.4299
czechia,,49.8175,15.472999999999999
denmark,,56.2639,9.5018
denmark,faroe-islands,61.8926,-6.9118
denmark,greenland,71.7069,-42.6043
diamond-princess,,0.0,0.0
djibouti,,11.8251,42.5903
dominica,,15.415,-61.371
dominican-republic,,18.7357,-70.1627
ecuador,,-1.8312,-78.1834
egypt,,26.0,30.0
el-salvador,,13.7942,-88.8965
equatorial-guinea,,1.5,10.0
eritrea,,15.1794,39.7823
estonia,,58.5953,25.0136
eswatini,,-26.5225,31.4659
ethiopia,,9.145,40.4897
fiji,,-17.7134,178.065
finland,,64.0,26.0
france,,46.2276,2.2137
france,french-guiana,3.9339,-53.1258
france,french-polynesia,-17.6797,149.4068
france,guadeloupe,16.25,-61.5833
france,martinique,14.6415,-61.0242
france,mayotte,-12.8275,45.1662
france,new-caledonia,-20.9043,165.618
france,reunion,-21.1351,55.2471
france,saint-barthelemy,17.9,-62.8333
france,saint-pierre-and-miquelon,46.8852,-56.3159
france,st-martin,18.0708,-63.0501
gabon,,-0.8037,11.6094
gambia,,13.4432,-15.3101
georgia,,42.3154,43.3569
germany,,51.0,9.0
ghana,,7.9465,-1.0232
greece,,39.0742,21.8243
grenada,,12.1165,-61.678999999999995
guatemala,,15.7835,-90.2308
guinea,,9.9456,-9.6966
guinea-bissau,,11.8037,-15.1804
guyana,,5.0,-58.75
haiti,,18.9712,-72.2852
holy-see,,41.9029,12.4534
honduras,,15.2,-86.2419
hungary,,47.1625,19.5033
iceland,,64.9631,-19.0208
india,,21.0,78.0
indonesia,,-0.7893,113.9213
iran,,32.0,53.0
iraq,,33.0,44.0
ireland,,53.1424,-7.6921
israel,,31.0,35.0
italy,,43.0,12.0
jamaica,,18.1096,-77.2975
japan,,36.0,138.0
jordan,,31.24,36.51
kazakhstan,,48.0196,66.9237
kenya,,-0.0236,37.9062
korea-south,,36.0,128.0
kosovo,,42.602636,20.902977
kuwait,,29.5,47.75
kyrgyzstan,,41.2044,74.7661
laos,,19.856270000000002,102.495496
latvia,,56.8796,24.6032
lebanon,,33.8547,35.8623
liberia,,6.4281,-9.4295
libya,,26.3351,17.228331
liechtenstein,,47.14,9.55
lithuania,,55.1694,23.8813
luxembourg,,49.8153,6.1296
madagascar,,-18.7669,46.8691
malawi,,-13.254307999999998,34.301525
malaysia,,2.5,112.5
maldives,,3.2028,73.2207
mali,,17.570692,-3.9961660000000006
malta,,35.9375,14.3754
mauritania,,21.0079,10.9408
mauritius,,-20.2,57.5
mexico,,23.6345,-102.5528
moldova,,47.4116,28.3699
monaco,,43.7333,7.4167
mongolia,,46.8625,103.8467
montenegro,,42.5,19.3
morocco,,31.7917,-7.0926
mozambique,,-18.665695,35.529562
ms-zaandam,,0.0,0.0
namibia,,-22.9576,18.4904
nepal,,28.1667,84.25
netherlands,,52.1326,5.2913
netherlands,aruba,12.5186,-70.0358
netherlands,bonaire-sint-eustatius-and-saba,12.1784,-68.2385
netherlands,curacao,12.1696,-68.99
netherlands,sint-maarten,18.0425,-63.0548
new-zealand,,-40.9006,174.886
nicaragua,,12.8654,-85.2072
niger,,17.6078,8.0817
nigeria,,9.082,8.6753
north-macedonia,,41.6086,21.7453
norway,,60.472,8.4689
oman,,21.0,57.0
pakistan,,30.3753,69.3451
panama,,8.538,-80.7821
papua-new-guinea,,-6.315,143.9555
paraguay,,-23.4425,-58.4438
peru,,-9.19,-75.0152
philippines,,13.0,122.0
poland,,51.9194,19.1451
portugal,,39.3999,-8.2245
qatar,,25.3548,51.1839
romania,,45.9432,24.9668
russia,,60.0,90.0
rwanda,,-1.9403,29.8739
saint-kitts-and-nevis,,17.357822,-62.782998
saint-lucia,,13.9094,-60.9789
saint-vincent-and-the-grenadines,,12.9843,-61.2872
san-marino,,43.9424,12.4578
sao-tome-and-principe,,0.18636,6.613081
saudi-arabia,,24.0,45.0
senegal,,14.4974,-14.4524
serbia,,44.0165,21.0059
seychelles,,-4.6796,55.492
sierra-leone,,8.460555000000001,-11.779889
singapore,,1.2833,103.8333
slovakia,,48.669,19.699
slovenia,,46.1512,14.9955
somalia,,5.1521,46.1996
south-africa,,-30.5595,22.9375
south-sudan,,6.877000000000001,31.307
spain,,40.0,-4.0
sri-lanka,,7.0,81.0
sudan,,12.8628,30.2176
suriname,,3.9193,-56.0278
sweden,,63.0,16.0
switzerland,,46.8182,8.2275
syria,,34.802075,38.996815000000005
taiwan,,23.7,121.0
tanzania,,-6.369,34.8888
thailand,,15.0,101.0
timor-leste,,-8.874217,125.727539
togo,,8.6195,0.8248
trinidad-and-tobago,,10.6918,-61.2225
tunisia,,34.0,9.0
turkey,,38.9637,35.2433
uganda,,1.0,32.0
ukraine,,48.3794,31.1656
united-arab-emirates,,24.0,54.0
united-kingdom,,55.3781,-3.4360000000000004
united-kingdom,anguilla,18.2206,-63.0686
united-kingdom,bermuda,32.3078,-64.7505
united-kingdom,british-virgin-islands,18.4207,-64.64
united-kingdom,cayman-islands,19.3133,-81.2546
united-kingdom,channel-islands,49.3723,-2.3644
united-kingdom,falkland-islands-malvinas,-51.7963,-59.5236
united-kingdom,gibraltar,36.1408,-5.3536
united-kingdom,isle-of-man,54.2361,-4.5481
united-kingdom,montserrat,16.7425,-62.1874
united-kingdom,turks-and-caicos-islands,21.694000000000003,-71.7979
uruguay,,-32.5228,-55.7658
us,,37.0902,-95.7129
uzbekistan,,41.3775,64.5853
venezuela,,6.4238,-66.5897
vietnam,,16.0,108.0
west-bank-and-gaza,,31.9522,35.2332
western-sahara,,24.2155,-12.8858
yemen,,15.552726999999999,48.516388
zambia,,-15.4167,28.2833
zimbabwe,,-20.0,30.0
