state,country,lat,long,date,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
beijing,china,40.1824,116.4142,2020-03-27,569,-421,8,2,408.0,-576.0
chongqing,china,30.0572,107.874,2020-03-27,578,9,6,-2,570.0,162.0
fujian,china,26.0789,117.9874,2020-03-27,331,-247,1,-5,295.0,-275.0
gansu,china,37.8099,101.0583,2020-03-27,136,-195,2,1,123.0,-172.0
guangdong,china,23.3417,113.4244,2020-03-27,1456,1320,8,6,1337.0,1214.0
guangxi,china,23.8298,108.7881,2020-03-27,254,-1202,2,-6,250.0,-1087.0
guizhou,china,26.8154,106.8748,2020-03-27,146,-108,2,0,144.0,-106.0
hainan,china,19.1959,109.7453,2020-03-27,168,22,6,4,168.0,24.0
hebei,china,39.549,116.1306,2020-03-27,319,151,6,0,310.0,142.0
heilongjiang,china,47.861999999999995,127.7615,2020-03-27,484,165,13,7,469.0,159.0
henan,china,33.882,113.61399999999999,2020-03-27,1275,791,22,9,1250.0,781.0
hong-kong,china,22.3,114.2,2020-03-27,519,-756,4,-18,110.0,-1140.0
hubei,china,30.9756,112.2707,2020-03-27,67801,67282,3174,3170,61732.0,61622.0
hunan,china,27.6104,111.7088,2020-03-27,1018,-66783,4,-3170,1014.0,-60718.0
inner-mongolia,china,44.0935,113.9448,2020-03-27,92,-926,1,-3,74.0,-940.0
jiangsu,china,32.9711,119.455,2020-03-27,641,549,0,-1,631.0,557.0
jiangxi,china,27.614,115.7221,2020-03-27,936,295,1,1,934.0,303.0
jilin,china,43.6661,126.1923,2020-03-27,95,-841,1,0,92.0,-842.0
liaoning,china,41.2956,122.6085,2020-03-27,128,33,2,1,124.0,32.0
macau,china,22.1667,113.55,2020-03-27,33,-95,0,-2,10.0,-114.0
ningxia,china,37.2692,106.1655,2020-03-27,75,42,0,0,75.0,65.0
qinghai,china,35.7452,95.9956,2020-03-27,18,-57,0,0,18.0,-57.0
shaanxi,china,35.1917,108.8701,2020-03-27,253,235,3,3,242.0,224.0
shandong,china,36.3427,118.1498,2020-03-27,772,519,7,4,752.0,510.0
shanghai,china,31.201999999999998,121.4491,2020-03-27,468,-304,5,-2,334.0,-418.0
shanxi,china,37.5777,112.2922,2020-03-27,135,-333,0,-5,133.0,-201.0
sichuan,china,30.6171,102.7103,2020-03-27,548,413,3,3,536.0,403.0
tianjin,china,39.3054,117.323,2020-03-27,155,-393,3,0,133.0,-403.0
tibet,china,31.6927,88.0924,2020-03-27,1,-154,0,-3,1.0,-132.0
xinjiang,china,41.1129,85.2401,2020-03-27,76,75,3,3,73.0,72.0
yunnan,china,24.974,101.48700000000001,2020-03-27,180,104,2,-1,172.0,99.0
zhejiang,china,29.1832,120.0934,2020-03-27,1247,1067,1,-1,1222.0,1050.0
,colombia,4.5709,-74.2973,2020-03-27,539,48,6,0,10.0,2.0
,congo-brazzaville,-4.0383,21.7587,2020-03-27,4,0,0,0,0.0,0.0
,congo-kinshasa,-4.0383,21.7587,2020-03-27,51,0,3,0,2.0,2.0
,costa-rica,9.7489,-83.7534,2020-03-27,263,32,2,0,3.0,1.0
,cote-d-ivoire,7.54,-5.5471,2020-03-27,101,5,0,0,3.0,0.0
,croatia,45.1,15.2,2020-03-27,586,91,3,0,37.0,15.0
,cuba,22.0,-80.0,2020-03-27,80,13,2,0,4.0,3.0
,cyprus,35.1264,33.4299,2020-03-27,162,16,5,2,15.0,11.0
,czechia,49.8175,15.472999999999999,2020-03-27,2279,354,9,0,11.0,1.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-27,144,-1733,0,-41,54.0,53.0
greenland,denmark,71.7069,-42.6043,2020-03-27,10,-134,0,0,2.0,-52.0
,denmark,56.2639,9.5018,2020-03-27,2046,2036,52,52,1.0,-1.0
,diamond-princess,0.0,0.0,2020-03-27,712,0,10,0,597.0,0.0
,djibouti,11.8251,42.5903,2020-03-27,12,1,0,0,0.0,0.0
,dominica,15.415,-61.371,2020-03-27,11,0,0,0,0.0,0.0
,dominican-republic,18.7357,-70.1627,2020-03-27,581,93,20,10,3.0,0.0
,ecuador,-1.8312,-78.1834,2020-03-27,1595,192,36,2,3.0,0.0
,egypt,26.0,30.0,2020-03-27,536,41,30,6,116.0,14.0
,el-salvador,13.7942,-88.8965,2020-03-27,13,0,0,0,0.0,0.0
,equatorial-guinea,1.5,10.0,2020-03-27,12,0,0,0,0.0,0.0
,eritrea,15.1794,39.7823,2020-03-27,6,0,0,0,0.0,0.0
,estonia,58.5953,25.0136,2020-03-27,575,37,1,0,11.0,3.0
,eswatini,-26.5225,31.4659,2020-03-27,9,3,0,0,0.0,0.0
,ethiopia,9.145,40.4897,2020-03-27,16,4,0,0,0.0,0.0
,fiji,-17.7134,178.065,2020-03-27,5,0,0,0,0.0,0.0
,finland,64.0,26.0,2020-03-27,1041,83,7,2,10.0,0.0
french-guiana,france,3.9339,-53.1258,2020-03-27,28,-29127,0,-1696,6.0,-4942.0
french-polynesia,france,-17.6797,149.4068,2020-03-27,30,2,0,0,0.0,-6.0
guadeloupe,france,16.25,-61.5833,2020-03-27,73,43,1,1,0.0,0.0
mayotte,france,-12.8275,45.1662,2020-03-27,50,-23,0,-1,0.0,0.0
new-caledonia,france,-20.9043,165.618,2020-03-27,15,-35,0,0,0.0,0.0
reunion,france,-21.1351,55.2471,2020-03-27,145,130,0,0,1.0,1.0
saint-barthelemy,france,17.9,-62.8333,2020-03-27,5,-140,0,0,0.0,-1.0
st-martin,france,18.0708,-63.0501,2020-03-27,11,6,0,0,0.0,0.0
martinique,france,14.6415,-61.0242,2020-03-27,81,70,1,1,0.0,0.0
,france,46.2276,2.2137,2020-03-27,32964,32883,1995,1994,5700.0,5700.0
,gabon,-0.8037,11.6094,2020-03-27,7,0,1,0,0.0,0.0
,gambia,13.4432,-15.3101,2020-03-27,3,0,1,0,0.0,0.0
,georgia,42.3154,43.3569,2020-03-27,83,4,0,0,14.0,3.0
,germany,51.0,9.0,2020-03-27,50871,6933,342,75,6658.0,985.0
,ghana,7.9465,-1.0232,2020-03-27,137,5,4,0,2.0,1.0
,greece,39.0742,21.8243,2020-03-27,966,74,28,2,52.0,16.0
,grenada,12.1165,-61.678999999999995,2020-03-27,7,0,0,0,0.0,0.0
,guatemala,15.7835,-90.2308,2020-03-27,28,3,1,0,4.0,0.0
,guinea,9.9456,-9.6966,2020-03-27,8,4,0,0,0.0,0.0
,guinea-bissau,11.8037,-15.1804,2020-03-27,2,0,0,0,0.0,0.0
,guyana,5.0,-58.75,2020-03-27,5,0,1,0,0.0,0.0
,haiti,18.9712,-72.2852,2020-03-27,8,0,0,0,0.0,0.0
,holy-see,41.9029,12.4534,2020-03-27,4,0,0,0,0.0,0.0
,honduras,15.2,-86.2419,2020-03-27,68,16,1,0,0.0,0.0
,hungary,47.1625,19.5033,2020-03-27,300,39,10,0,34.0,6.0
,iceland,64.9631,-19.0208,2020-03-27,890,88,2,0,97.0,15.0
,india,21.0,78.0,2020-03-27,887,160,20,0,73.0,28.0
,indonesia,-0.7893,113.9213,2020-03-27,1046,153,87,9,46.0,11.0
,iran,32.0,53.0,2020-03-27,32332,2926,2378,144,11133.0,676.0
,iraq,33.0,44.0,2020-03-27,458,76,40,4,122.0,17.0
,ireland,53.1424,-7.6921,2020-03-27,2121,302,22,3,5.0,0.0
,israel,31.0,35.0,2020-03-27,3035,342,12,4,79.0,11.0
,italy,43.0,12.0,2020-03-27,86498,5909,9134,919,10950.0,589.0
,jamaica,18.1096,-77.2975,2020-03-27,26,0,1,0,2.0,0.0
,japan,36.0,138.0,2020-03-27,1468,81,49,2,372.0,13.0
,jordan,31.24,36.51,2020-03-27,235,23,1,1,18.0,17.0
,kazakhstan,48.0196,66.9237,2020-03-27,150,39,1,0,3.0,1.0
,kenya,-0.0236,37.9062,2020-03-27,31,0,1,0,1.0,0.0
,korea-south,36.0,128.0,2020-03-27,9332,91,139,8,4528.0,384.0
,kosovo,42.602636,20.902977,2020-03-27,86,15,1,0,1.0,1.0
,kuwait,29.5,47.75,2020-03-27,225,17,0,0,57.0,8.0
,kyrgyzstan,41.2044,74.7661,2020-03-27,58,14,0,0,0.0,0.0
,laos,19.856270000000002,102.495496,2020-03-27,6,0,0,0,0.0,0.0
,latvia,56.8796,24.6032,2020-03-27,280,36,0,0,1.0,0.0
,lebanon,33.8547,35.8623,2020-03-27,391,23,8,2,27.0,4.0
,liberia,6.4281,-9.4295,2020-03-27,3,0,0,0,0.0,0.0
,libya,26.3351,17.228331,2020-03-27,1,0,0,0,0.0,0.0
,liechtenstein,47.14,9.55,2020-03-27,56,0,0,0,0.0,0.0
,lithuania,55.1694,23.8813,2020-03-27,358,59,5,1,1.0,0.0
,luxembourg,49.8153,6.1296,2020-03-27,1605,152,15,6,40.0,34.0
,madagascar,-18.7669,46.8691,2020-03-27,26,3,0,0,0.0,0.0
,malawi,-13.254307999999998,34.301525,2020-03-27,0,0,0,0,0.0,0.0
,malaysia,2.5,112.5,2020-03-27,2161,130,26,3,259.0,44.0
,maldives,3.2028,73.2207,2020-03-27,16,3,0,0,9.0,1.0
,mali,17.570692,-3.996166000000001,2020-03-27,11,7,0,0,0.0,0.0
,malta,35.9375,14.3754,2020-03-27,139,5,0,0,2.0,0.0
,mauritania,21.0079,10.9408,2020-03-27,3,0,0,0,0.0,0.0
,mauritius,-20.2,57.5,2020-03-27,94,13,2,0,0.0,0.0
,mexico,23.6345,-102.5528,2020-03-27,585,110,8,2,4.0,0.0
,moldova,47.4116,28.3699,2020-03-27,199,22,2,1,2.0,0.0
,monaco,43.7333,7.4167,2020-03-27,42,9,0,0,1.0,0.0
,mongolia,46.8625,103.8467,2020-03-27,11,0,0,0,0.0,0.0
,montenegro,42.5,19.3,2020-03-27,82,13,1,0,0.0,0.0
,morocco,31.7917,-7.0926,2020-03-27,345,70,23,12,11.0,3.0
,mozambique,-18.665695,35.529562,2020-03-27,7,0,0,0,0.0,0.0
,ms-zaandam,0.0,0.0,2020-03-27,0,0,0,0,0.0,0.0
,namibia,-22.9576,18.4904,2020-03-27,8,0,0,0,2.0,0.0
,nepal,28.1667,84.25,2020-03-27,4,1,0,0,1.0,0.0
aruba,netherlands,12.5186,-70.0358,2020-03-27,33,33,0,0,1.0,1.0
curacao,netherlands,12.1696,-68.99,2020-03-27,8,-25,1,1,2.0,1.0
sint-maarten,netherlands,18.0425,-63.0548,2020-03-27,3,-5,0,-1,0.0,-2.0
,netherlands,52.1326,5.2913,2020-03-27,8603,8600,546,546,3.0,3.0
bonaire-sint-eustatius-and-saba,netherlands,12.1784,-68.2385,2020-03-27,0,-8603,0,-546,0.0,-3.0
,new-zealand,-40.9006,174.886,2020-03-27,368,85,0,0,37.0,10.0
,nicaragua,12.8654,-85.2072,2020-03-27,2,0,1,1,0.0,0.0
,niger,17.6078,8.0817,2020-03-27,10,0,1,0,0.0,0.0
,nigeria,9.082,8.6753,2020-03-27,70,5,1,0,3.0,1.0
,north-macedonia,41.6086,21.7453,2020-03-27,219,18,3,0,3.0,0.0
,norway,60.472,8.4689,2020-03-27,3755,386,19,5,6.0,0.0
,oman,21.0,57.0,2020-03-27,131,22,0,0,23.0,0.0
,pakistan,30.3753,69.3451,2020-03-27,1373,172,11,2,23.0,2.0
,panama,8.538,-80.7821,2020-03-27,674,116,9,1,2.0,0.0
,papua-new-guinea,-6.315,143.9555,2020-03-27,1,0,0,0,0.0,0.0
,paraguay,-23.4425,-58.4438,2020-03-27,52,11,3,0,1.0,1.0
,peru,-9.19,-75.0152,2020-03-27,635,55,11,2,16.0,2.0
,philippines,13.0,122.0,2020-03-27,803,96,54,9,31.0,3.0
,poland,51.9194,19.1451,2020-03-27,1389,168,16,0,7.0,0.0
,portugal,39.3999,-8.2245,2020-03-27,4268,724,76,16,43.0,0.0
,qatar,25.3548,51.1839,2020-03-27,562,13,0,0,43.0,0.0
,romania,45.9432,24.9668,2020-03-27,1292,263,26,3,115.0,21.0
,russia,60.0,90.0,2020-03-27,1036,196,4,1,45.0,7.0
,rwanda,-1.9403,29.8739,2020-03-27,54,4,0,0,0.0,0.0
,saint-kitts-and-nevis,17.357822,-62.782998,2020-03-27,2,0,0,0,0.0,0.0
,saint-lucia,13.9094,-60.9789,2020-03-27,3,0,0,0,1.0,1.0
,saint-vincent-and-the-grenadines,12.9843,-61.2872,2020-03-27,1,0,0,0,0.0,0.0
,san-marino,43.9424,12.4578,2020-03-27,223,15,21,0,4.0,0.0
,saudi-arabia,24.0,45.0,2020-03-27,1104,92,3,0,35.0,2.0
,senegal,14.4974,-14.4524,2020-03-27,119,14,0,0,11.0,2.0
,serbia,44.0165,21.0059,2020-03-27,457,73,1,0,0.0,0.0
,seychelles,-4.6796,55.492,2020-03-27,7,0,0,0,0.0,0.0
,sierra-leone,8.460555000000001,-11.779889,2020-03-27,0,0,0,0,0.0,0.0
,singapore,1.2833,103.8333,2020-03-27,732,49,2,0,183.0,11.0
,slovakia,48.669,19.699,2020-03-27,269,43,0,0,2.0,0.0
,slovenia,46.1512,14.9955,2020-03-27,632,70,9,3,10.0,0.0
,somalia,5.1521,46.1996,2020-03-27,3,1,0,0,0.0,0.0
,south-africa,-30.5595,22.9375,2020-03-27,1170,243,1,1,31.0,19.0
,spain,40.0,-4.0,2020-03-27,65719,7933,5138,773,9357.0,2342.0
,sri-lanka,7.0,81.0,2020-03-27,106,0,0,0,7.0,0.0
,sudan,12.8628,30.2176,2020-03-27,3,0,1,0,0.0,0.0
,suriname,3.9193,-56.0278,2020-03-27,8,0,0,0,0.0,0.0
,sweden,63.0,16.0,2020-03-27,3069,229,105,28,16.0,0.0
,switzerland,46.8182,8.2275,2020-03-27,12928,1117,231,40,1530.0,1399.0
,syria,34.802075,38.99681500000001,2020-03-27,5,0,0,0,0.0,0.0
,taiwan,23.7,121.0,2020-03-27,267,15,2,0,29.0,0.0
,tanzania,-6.369,34.8888,2020-03-27,13,0,0,0,1.0,1.0
,thailand,15.0,101.0,2020-03-27,1136,91,5,1,97.0,9.0
,timor-leste,-8.874217,125.727539,2020-03-27,1,0,0,0,0.0,0.0
,togo,8.6195,0.8248,2020-03-27,25,2,1,1,1.0,0.0
,trinidad-and-tobago,10.6918,-61.2225,2020-03-27,66,1,2,1,1.0,1.0
,tunisia,34.0,9.0,2020-03-27,227,30,6,0,2.0,0.0
,turkey,38.9637,35.2433,2020-03-27,5698,2069,92,17,42.0,16.0
,uganda,1.0,32.0,2020-03-27,23,9,0,0,0.0,0.0
,ukraine,48.3794,31.1656,2020-03-27,310,114,5,0,5.0,4.0
,united-arab-emirates,24.0,54.0,2020-03-27,405,72,2,0,52.0,0.0
bermuda,united-kingdom,32.3078,-64.7505,2020-03-27,17,17,0,0,2.0,2.0
cayman-islands,united-kingdom,19.3133,-81.2546,2020-03-27,8,-9,1,1,0.0,-2.0
channel-islands,united-kingdom,49.3723,-2.3644,2020-03-27,88,80,1,0,0.0,0.0
gibraltar,united-kingdom,36.1408,-5.3536,2020-03-27,55,-33,0,-1,14.0,14.0
isle-of-man,united-kingdom,54.2361,-4.5481,2020-03-27,29,-26,0,0,0.0,-14.0
montserrat,united-kingdom,16.7425,-62.1874,2020-03-27,5,-24,0,0,0.0,0.0
,united-kingdom,55.3781,-3.4360000000000004,2020-03-27,14543,14538,759,759,135.0,135.0
anguilla,united-kingdom,18.2206,-63.0686,2020-03-27,0,-14543,0,-759,0.0,-135.0
british-virgin-islands,united-kingdom,18.4207,-64.64,2020-03-27,0,0,0,0,0.0,0.0
turks-and-caicos-islands,united-kingdom,21.69400000000001,-71.7979,2020-03-27,0,0,0,0,0.0,0.0
,uruguay,-32.5228,-55.7658,2020-03-27,238,21,0,0,0.0,0.0
,us,37.0902,-95.7129,2020-03-27,101657,17821,1581,372,869.0,188.0
,uzbekistan,41.3775,64.5853,2020-03-27,88,13,1,1,5.0,5.0
,venezuela,6.4238,-66.5897,2020-03-27,107,0,1,1,31.0,16.0
,vietnam,16.0,108.0,2020-03-27,163,10,0,0,20.0,0.0
,west-bank-and-gaza,31.9522,35.2332,2020-03-27,91,7,1,0,17.0,0.0
,zambia,-15.4167,28.2833,2020-03-27,22,6,0,0,0.0,0.0
,zimbabwe,-20.0,30.0,2020-03-27,5,2,1,0,0.0,0.0
